"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"2008"	"2008"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1443	Not Applicable	Not Applicable
"Total"	"2008"	"2008"	"Black or African American"	"2054-5"			289072	41048959	704.2
	"2008"	"2008"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	135661	43182582	314.2
	"2008"	"2008"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1981034	199783797	991.6
	"2008"	"2008"	"White"	"2106-3"	"Not Stated"	"NS"	3538	Not Applicable	Not Applicable
"Total"	"2008"	"2008"	"White"	"2106-3"			2120233	242966379	872.6
"Total"	"2008"	"2008"					2471984	304093966	812.9
	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	673	1589064	42.4
	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	14259	2552151	558.7
	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	28	Not Applicable	Not Applicable
"Total"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"			14960	4141215	361.2
	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	943	815036	115.7
	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	48152	15793995	304.9
	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	130	Not Applicable	Not Applicable
"Total"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"			49225	16609031	296.4
	"2009"	"2009"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2036	2527635	80.5
	"2009"	"2009"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	282982	39104815	723.7
	"2009"	"2009"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1605	Not Applicable	Not Applicable
"Total"	"2009"	"2009"	"Black or African American"	"2054-5"			286623	41632450	688.5
	"2009"	"2009"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	137924	44395754	310.7
	"2009"	"2009"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1944606	199993079	972.3
	"2009"	"2009"	"White"	"2106-3"	"Not Stated"	"NS"	3825	Not Applicable	Not Applicable
"Total"	"2009"	"2009"	"White"	"2106-3"			2086355	244388833	853.7
"Total"	"2009"	"2009"					2437163	306771529	794.5
	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	692	1693971	40.9
	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	14846	2569567	577.8
	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	27	Not Applicable	Not Applicable
"Total"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"			15565	4263538	365.1
	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	946	859454	110.1
	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	50018	16133872	310.0
	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	198	Not Applicable	Not Applicable
"Total"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"			51162	16993326	301.1
	"2010"	"2010"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2143	2628201	81.5
	"2010"	"2010"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	283438	39437133	718.7
	"2010"	"2010"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1378	Not Applicable	Not Applicable
"Total"	"2010"	"2010"	"Black or African American"	"2054-5"			286959	42065334	682.2
	"2010"	"2010"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	140709	45295968	310.6
	"2010"	"2010"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1969916	200127372	984.3
	"2010"	"2010"	"White"	"2106-3"	"Not Stated"	"NS"	4124	Not Applicable	Not Applicable
"Total"	"2010"	"2010"	"White"	"2106-3"			2114749	245423340	861.7
"Total"	"2010"	"2010"					2468435	308745538	799.5
	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	730	1748621	41.7
	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	15181	2598792	584.2
	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	34	Not Applicable	Not Applicable
"Total"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"			15945	4347413	366.8
	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	865	891649	97.0
	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	52346	16579709	315.7
	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	125	Not Applicable	Not Applicable
"Total"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"			53336	17471358	305.3
	"2011"	"2011"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	1980	2733919	72.4
	"2011"	"2011"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	286797	39944896	718.0
	"2011"	"2011"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1323	Not Applicable	Not Applicable
"Total"	"2011"	"2011"	"Black or African American"	"2054-5"			290100	42678815	679.7
	"2011"	"2011"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	146060	46671088	313.0
	"2011"	"2011"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2006319	200423243	1001.0
	"2011"	"2011"	"White"	"2106-3"	"Not Stated"	"NS"	3698	Not Applicable	Not Applicable
"Total"	"2011"	"2011"	"White"	"2106-3"			2156077	247094331	872.6
"Total"	"2011"	"2011"					2515458	311591917	807.3
	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	776	1777935	43.6
	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	15705	2620501	599.3
	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	46	Not Applicable	Not Applicable
"Total"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"			16527	4398436	375.7
	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	890	912363	97.5
	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	55298	17175596	322.0
	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	164	Not Applicable	Not Applicable
"Total"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"			56352	18087959	311.5
	"2012"	"2012"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2280	2811704	81.1
	"2012"	"2012"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	291179	40391388	720.9
	"2012"	"2012"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1763	Not Applicable	Not Applicable
"Total"	"2012"	"2012"	"Black or African American"	"2054-5"			295222	43203092	683.3
	"2012"	"2012"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	152473	47525706	320.8
	"2012"	"2012"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2016896	200698847	1004.9
	"2012"	"2012"	"White"	"2106-3"	"Not Stated"	"NS"	5809	Not Applicable	Not Applicable
"Total"	"2012"	"2012"	"White"	"2106-3"			2175178	248224553	876.3
"Total"	"2012"	"2012"					2543279	313914040	810.2
	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	780	1814934	43.0
	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	16219	2643000	613.7
	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	53	Not Applicable	Not Applicable
"Total"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"			17052	4457934	382.5
	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	948	936266	101.3
	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	58702	17693870	331.8
	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	219	Not Applicable	Not Applicable
"Total"	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"			59869	18630136	321.4
	"2013"	"2013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2298	2894185	79.4
	"2013"	"2013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	299227	40802086	733.4
	"2013"	"2013"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1444	Not Applicable	Not Applicable
"Total"	"2013"	"2013"	"Black or African American"	"2054-5"			302969	43696271	693.4
	"2013"	"2013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	159215	48425985	328.8
	"2013"	"2013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2052660	200918513	1021.6
	"2013"	"2013"	"White"	"2106-3"	"Not Stated"	"NS"	5228	Not Applicable	Not Applicable
"Total"	"2013"	"2013"	"White"	"2106-3"			2217103	249344498	889.2
"Total"	"2013"	"2013"					2596993	316128839	821.5
	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	813	1851684	43.9
	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	17138	2667297	642.5
	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	57	Not Applicable	Not Applicable
"Total"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"			18008	4518981	398.5
	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	876	961306	91.1
	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	60424	18436908	327.7
