Week Ending Date,State,State Abbreviation,Median Number,Lower Bound,Upper Bound,Outcome,MMWR Year,MMWR Week,Rolling 4-Week Mean,Rolling 4-Week Lower,Rolling 4-Week Upper
12/03/2016,Alabama,AL,14.04,10.14,19.14,Drug Overdose,2016,48,14.51,10.50,19.74
12/10/2016,Alabama,AL,17.33,12.68,23.32,Drug Overdose,2016,49,14.96,10.86,20.32
12/17/2016,Alabama,AL,16.23,11.83,21.94,Drug Overdose,2016,50,15.24,11.07,20.67
12/24/2016,Alabama,AL,13.40,,18.32,Drug Overdose,2016,51,15.25,11.08,20.68
12/31/2016,Alabama,AL,13.20,,18.06,Drug Overdose,2016,52,15.04,10.92,20.41
01/07/2017,Alabama,AL,16.07,11.71,21.73,Drug Overdose,2017,1,14.72,10.67,20.01
01/14/2017,Alabama,AL,12.19,,16.77,Drug Overdose,2017,2,13.72,,18.72
01/21/2017,Alabama,AL,18.98,13.97,25.39,Drug Overdose,2017,3,15.11,10.98,20.49
01/28/2017,Alabama,AL,16.66,12.16,22.47,Drug Overdose,2017,4,15.98,11.64,21.59
02/04/2017,Alabama,AL,19.50,14.38,26.04,Drug Overdose,2017,5,16.83,12.31,22.67
02/11/2017,Alabama,AL,15.59,11.33,21.12,Drug Overdose,2017,6,17.68,12.96,23.76
02/18/2017,Alabama,AL,14.08,10.17,19.19,Drug Overdose,2017,7,16.46,12.01,22.21
02/25/2017,Alabama,AL,13.43,,18.37,Drug Overdose,2017,8,15.65,11.39,21.18
03/04/2017,Alabama,AL,15.84,11.53,21.44,Drug Overdose,2017,9,14.74,10.68,20.03
03/11/2017,Alabama,AL,18.56,13.64,24.87,Drug Overdose,2017,10,15.48,11.26,20.97
03/18/2017,Alabama,AL,16.91,12.36,22.80,Drug Overdose,2017,11,16.19,11.80,21.87
03/25/2017,Alabama,AL,14.78,10.71,20.09,Drug Overdose,2017,12,16.52,12.06,22.30
04/01/2017,Alabama,AL,16.67,12.17,22.49,Drug Overdose,2017,13,16.73,12.22,22.56
04/08/2017,Alabama,AL,15.02,10.90,20.40,Drug Overdose,2017,14,15.85,11.53,21.45
04/15/2017,Alabama,AL,15.97,11.63,21.60,Drug Overdose,2017,15,15.61,11.35,21.15
04/22/2017,Alabama,AL,14.17,10.24,19.31,Drug Overdose,2017,16,15.46,11.24,20.95
04/29/2017,Alabama,AL,13.99,10.11,19.09,Drug Overdose,2017,17,14.79,10.72,20.10
05/06/2017,Alabama,AL,15.14,10.99,20.55,Drug Overdose,2017,18,14.82,10.74,20.14
05/13/2017,Alabama,AL,13.41,,18.33,Drug Overdose,2017,19,14.18,10.25,19.32
05/20/2017,Alabama,AL,15.80,11.50,21.39,Drug Overdose,2017,20,14.59,10.57,19.84
05/27/2017,Alabama,AL,15.11,10.97,20.51,Drug Overdose,2017,21,14.87,10.78,20.20
06/03/2017,Alabama,AL,15.57,11.32,21.10,Drug Overdose,2017,22,14.97,10.86,20.34
06/10/2017,Alabama,AL,17.94,13.16,24.08,Drug Overdose,2017,23,16.11,11.73,21.77
06/17/2017,Alabama,AL,15.80,11.50,21.39,Drug Overdose,2017,24,16.11,11.73,21.77
06/24/2017,Alabama,AL,13.13,,17.97,Drug Overdose,2017,25,15.61,11.36,21.14
07/01/2017,Alabama,AL,16.88,12.33,22.76,Drug Overdose,2017,26,15.94,11.61,21.55
07/08/2017,Alabama,AL,19.65,14.50,26.23,Drug Overdose,2017,27,16.37,11.95,22.09
07/15/2017,Alabama,AL,13.38,,18.29,Drug Overdose,2017,28,15.76,11.48,21.31
07/22/2017,Alabama,AL,13.69,,18.70,Drug Overdose,2017,29,15.90,11.59,21.50
07/29/2017,Alabama,AL,14.59,10.57,19.85,Drug Overdose,2017,30,15.33,11.15,20.77
08/05/2017,Alabama,AL,15.73,11.44,21.30,Drug Overdose,2017,31,14.35,10.38,19.54
08/12/2017,Alabama,AL,15.21,11.04,20.64,Drug Overdose,2017,32,14.81,10.73,20.12
08/19/2017,Alabama,AL,15.45,11.23,20.95,Drug Overdose,2017,33,15.25,11.07,20.69
08/26/2017,Alabama,AL,14.82,10.74,20.14,Drug Overdose,2017,34,15.30,11.11,20.76
09/02/2017,Alabama,AL,13.55,,18.51,Drug Overdose,2017,35,14.76,10.69,20.06
09/09/2017,Alabama,AL,13.48,,18.43,Drug Overdose,2017,36,14.33,10.36,19.51
09/16/2017,Alabama,AL,14.69,10.64,19.97,Drug Overdose,2017,37,14.13,10.22,19.26
09/23/2017,Alabama,AL,13.62,,18.60,Drug Overdose,2017,38,13.83,,18.88
09/30/2017,Alabama,AL,13.75,,18.78,Drug Overdose,2017,39,13.89,10.03,18.95
10/07/2017,Alabama,AL,12.66,,17.37,Drug Overdose,2017,40,13.68,,18.68
10/14/2017,Alabama,AL,14.09,10.18,19.21,Drug Overdose,2017,41,13.53,,18.49
10/21/2017,Alabama,AL,13.18,,18.04,Drug Overdose,2017,42,13.42,,18.35
10/28/2017,Alabama,AL,11.42,,15.76,Drug Overdose,2017,43,12.84,,17.60
11/04/2017,Alabama,AL,12.04,,16.57,Drug Overdose,2017,44,12.68,,17.40
11/11/2017,Alabama,AL,14.80,10.73,20.12,Drug Overdose,2017,45,12.86,,17.62
11/18/2017,Alabama,AL,13.94,10.07,19.02,Drug Overdose,2017,46,13.05,,17.87
11/25/2017,Alabama,AL,14.32,10.36,19.51,Drug Overdose,2017,47,13.78,,18.80
12/02/2017,Alabama,AL,13.57,,18.54,Drug Overdose,2017,48,14.16,10.24,19.30
12/09/2017,Alabama,AL,16.84,12.30,22.71,Drug Overdose,2017,49,14.67,10.63,19.95
12/16/2017,Alabama,AL,12.10,,16.64,Drug Overdose,2017,50,14.21,10.28,19.35
12/23/2017,Alabama,AL,16.22,11.82,21.93,Drug Overdose,2017,51,14.68,10.64,19.96
12/30/2017,Alabama,AL,17.68,12.96,23.77,Drug Overdose,2017,52,15.71,11.44,21.26
01/06/2018,Alabama,AL,15.24,11.07,20.68,Drug Overdose,2018,1,15.31,11.13,20.75
01/13/2018,Alabama,AL,14.62,10.59,19.89,Drug Overdose,2018,2,15.94,11.61,21.57
01/20/2018,Alabama,AL,12.85,,17.62,Drug Overdose,2018,3,15.10,10.96,20.49
01/27/2018,Alabama,AL,12.99,,17.80,Drug Overdose,2018,4,13.93,10.06,19.00
02/03/2018,Alabama,AL,14.87,10.78,20.21,Drug Overdose,2018,5,13.83,,18.88
02/10/2018,Alabama,AL,19.06,14.04,25.50,Drug Overdose,2018,6,14.94,10.85,20.28
02/17/2018,Alabama,AL,13.94,10.07,19.02,Drug Overdose,2018,7,15.22,11.06,20.63
02/24/2018,Alabama,AL,16.16,11.78,21.85,Drug Overdose,2018,8,16.01,11.67,21.64
03/03/2018,Alabama,AL,14.15,10.23,19.29,Drug Overdose,2018,9,15.83,11.53,21.41
03/10/2018,Alabama,AL,16.13,11.75,21.81,Drug Overdose,2018,10,15.10,10.96,20.49
03/17/2018,Alabama,AL,14.81,10.74,20.13,Drug Overdose,2018,11,15.31,11.12,20.77
03/24/2018,Alabama,AL,13.46,,18.41,Drug Overdose,2018,12,14.64,10.61,19.91
03/31/2018,Alabama,AL,15.00,10.88,20.37,Drug Overdose,2018,13,14.85,10.77,20.18
04/07/2018,Alabama,AL,16.11,11.74,21.79,Drug Overdose,2018,14,14.85,10.76,20.18
04/14/2018,Alabama,AL,13.15,,18.01,Drug Overdose,2018,15,14.43,10.45,19.64
04/21/2018,Alabama,AL,15.49,11.26,21.00,Drug Overdose,2018,16,14.94,10.84,20.29
04/28/2018,Alabama,AL,13.05,,17.88,Drug Overdose,2018,17,14.45,10.46,19.67
05/05/2018,Alabama,AL,19.13,14.09,25.58,Drug Overdose,2018,18,15.21,11.05,20.62
05/12/2018,Alabama,AL,15.34,11.14,20.80,Drug Overdose,2018,19,15.75,11.47,21.31
05/19/2018,Alabama,AL,13.24,,18.12,Drug Overdose,2018,20,15.19,11.04,20.59
05/26/2018,Alabama,AL,14.22,10.28,19.37,Drug Overdose,2018,21,15.48,11.26,20.97
06/02/2018,Alabama,AL,14.66,10.62,19.94,Drug Overdose,2018,22,14.36,10.39,19.56
06/09/2018,Alabama,AL,17.23,12.60,23.19,Drug Overdose,2018,23,14.84,10.76,20.16
06/16/2018,Alabama,AL,12.12,,16.67,Drug Overdose,2018,24,14.56,10.55,19.80
06/23/2018,Alabama,AL,12.73,,17.47,Drug Overdose,2018,25,14.19,10.27,19.32
06/30/2018,Alabama,AL,13.55,,18.52,Drug Overdose,2018,26,13.91,10.05,18.96
07/07/2018,Alabama,AL,15.45,11.22,20.94,Drug Overdose,2018,27,13.46,,18.40
07/14/2018,Alabama,AL,15.87,11.55,21.48,Drug Overdose,2018,28,14.40,10.42,19.60
07/21/2018,Alabama,AL,14.86,10.77,20.19,Drug Overdose,2018,29,14.93,10.83,20.28
07/28/2018,Alabama,AL,13.50,,18.46,Drug Overdose,2018,30,14.92,10.82,20.27
08/04/2018,Alabama,AL,13.74,,18.75,Drug Overdose,2018,31,14.49,10.49,19.72
08/11/2018,Alabama,AL,15.89,11.56,21.50,Drug Overdose,2018,32,14.50,10.50,19.72
08/18/2018,Alabama,AL,13.36,,18.27,Drug Overdose,2018,33,14.12,10.21,19.24
08/25/2018,Alabama,AL,12.68,,17.39,Drug Overdose,2018,34,13.91,10.05,18.98
09/01/2018,Alabama,AL,12.89,,17.67,Drug Overdose,2018,35,13.70,,18.71
09/08/2018,Alabama,AL,16.67,12.17,22.50,Drug Overdose,2018,36,13.90,10.04,18.96
09/15/2018,Alabama,AL,15.00,10.88,20.37,Drug Overdose,2018,37,14.31,10.36,19.48
09/22/2018,Alabama,AL,13.19,,18.05,Drug Overdose,2018,38,14.44,10.45,19.65
09/29/2018,Alabama,AL,12.51,,17.18,Drug Overdose,2018,39,14.34,10.38,19.53
10/06/2018,Alabama,AL,13.39,,18.31,Drug Overdose,2018,40,13.52,,18.48
10/13/2018,Alabama,AL,12.85,,17.61,Drug Overdose,2018,41,12.99,,17.79
10/20/2018,Alabama,AL,11.96,,16.46,Drug Overdose,2018,42,12.68,,17.39
10/27/2018,Alabama,AL,11.06,,15.29,Drug Overdose,2018,43,12.31,,16.92
11/03/2018,Alabama,AL,14.03,10.14,19.13,Drug Overdose,2018,44,12.47,,17.13
11/10/2018,Alabama,AL,12.88,,17.65,Drug Overdose,2018,45,12.48,,17.13
11/17/2018,Alabama,AL,11.81,,16.27,Drug Overdose,2018,46,12.44,,17.09
11/24/2018,Alabama,AL,13.68,,18.69,Drug Overdose,2018,47,13.10,,17.94
12/01/2018,Alabama,AL,12.72,,17.45,Drug Overdose,2018,48,12.77,,17.52
12/08/2018,Alabama,AL,18.17,13.33,24.37,Drug Overdose,2018,49,14.09,10.20,19.20
12/15/2018,Alabama,AL,12.00,,16.52,Drug Overdose,2018,50,14.14,10.23,19.26
12/22/2018,Alabama,AL,15.09,10.95,20.49,Drug Overdose,2018,51,14.49,10.50,19.71
12/29/2018,Alabama,AL,15.53,11.29,21.06,Drug Overdose,2018,52,15.20,11.04,20.61
01/05/2019,Alabama,AL,13.34,,18.24,Drug Overdose,2019,1,13.99,10.11,19.08
01/12/2019,Alabama,AL,14.25,10.30,19.41,Drug Overdose,2019,2,14.55,10.54,19.80
01/19/2019,Alabama,AL,11.91,,16.40,Drug Overdose,2019,3,13.76,,18.78
01/26/2019,Alabama,AL,10.83,,15.00,Drug Overdose,2019,4,12.58,,17.26
02/02/2019,Alabama,AL,11.31,,15.62,Drug Overdose,2019,5,12.08,,16.61
02/09/2019,Alabama,AL,17.12,12.52,23.05,Drug Overdose,2019,6,12.79,,17.52
02/16/2019,Alabama,AL,13.39,,18.31,Drug Overdose,2019,7,13.16,,17.99
02/23/2019,Alabama,AL,13.00,,17.82,Drug Overdose,2019,8,13.70,,18.70
03/02/2019,Alabama,AL,13.69,,18.69,Drug Overdose,2019,9,14.30,10.35,19.47
03/09/2019,Alabama,AL,17.26,12.63,23.23,Drug Overdose,2019,10,14.33,10.38,19.51
03/16/2019,Alabama,AL,16.24,11.83,21.95,Drug Overdose,2019,11,15.05,10.92,20.42
03/23/2019,Alabama,AL,13.87,10.01,18.92,Drug Overdose,2019,12,15.26,11.09,20.70
03/30/2019,Alabama,AL,13.31,,18.21,Drug Overdose,2019,13,15.17,11.01,20.58
04/06/2019,Alabama,AL,13.34,,18.24,Drug Overdose,2019,14,14.19,10.26,19.33
04/13/2019,Alabama,AL,18.04,13.24,24.22,Drug Overdose,2019,15,14.64,10.61,19.90
04/20/2019,Alabama,AL,13.35,,18.27,Drug Overdose,2019,16,14.51,10.51,19.73
04/27/2019,Alabama,AL,12.50,,17.17,Drug Overdose,2019,17,14.31,10.36,19.47
05/04/2019,Alabama,AL,14.60,10.57,19.86,Drug Overdose,2019,18,14.62,10.60,19.88
05/11/2019,Alabama,AL,15.68,11.40,21.24,Drug Overdose,2019,19,14.03,10.14,19.13
05/18/2019,Alabama,AL,14.25,10.30,19.41,Drug Overdose,2019,20,14.26,10.31,19.42
05/25/2019,Alabama,AL,12.79,,17.53,Drug Overdose,2019,21,14.33,10.37,19.51
06/01/2019,Alabama,AL,16.28,11.87,22.00,Drug Overdose,2019,22,14.75,10.69,20.05
06/08/2019,Alabama,AL,18.12,13.30,24.32,Drug Overdose,2019,23,15.36,11.17,20.82
06/15/2019,Alabama,AL,16.85,12.31,22.71,Drug Overdose,2019,24,16.01,11.67,21.64
06/22/2019,Alabama,AL,16.20,11.80,21.90,Drug Overdose,2019,25,16.86,12.32,22.73
06/29/2019,Alabama,AL,13.38,,18.30,Drug Overdose,2019,26,16.14,11.76,21.81
07/06/2019,Alabama,AL,16.22,11.82,21.92,Drug Overdose,2019,27,15.66,11.39,21.21
07/13/2019,Alabama,AL,14.75,10.69,20.05,Drug Overdose,2019,28,15.14,10.99,20.54
07/20/2019,Alabama,AL,14.60,10.57,19.86,Drug Overdose,2019,29,14.74,10.68,20.03
07/27/2019,Alabama,AL,13.70,,18.70,Drug Overdose,2019,30,14.82,10.74,20.13
08/03/2019,Alabama,AL,14.74,10.68,20.04,Drug Overdose,2019,31,14.44,10.45,19.66
08/10/2019,Alabama,AL,16.45,12.00,22.22,Drug Overdose,2019,32,14.87,10.78,20.20
08/17/2019,Alabama,AL,15.65,11.38,21.20,Drug Overdose,2019,33,15.14,10.99,20.54
08/24/2019,Alabama,AL,14.16,10.24,19.30,Drug Overdose,2019,34,15.25,11.08,20.69
08/31/2019,Alabama,AL,14.90,10.80,20.24,Drug Overdose,2019,35,15.29,11.11,20.74
09/07/2019,Alabama,AL,16.09,11.72,21.76,Drug Overdose,2019,36,15.20,11.04,20.63
09/14/2019,Alabama,AL,15.28,11.10,20.73,Drug Overdose,2019,37,15.11,10.97,20.51
09/21/2019,Alabama,AL,12.93,,17.72,Drug Overdose,2019,38,14.80,10.73,20.11
09/28/2019,Alabama,AL,12.08,,16.62,Drug Overdose,2019,39,14.10,10.19,19.21
10/05/2019,Alabama,AL,16.16,11.78,21.85,Drug Overdose,2019,40,14.11,10.21,19.23
10/12/2019,Alabama,AL,14.55,10.54,19.80,Drug Overdose,2019,41,13.93,10.07,19.00
10/19/2019,Alabama,AL,17.49,12.81,23.53,Drug Overdose,2019,42,15.07,10.95,20.45
10/26/2019,Alabama,AL,13.85,,18.90,Drug Overdose,2019,43,15.52,11.28,21.02
11/02/2019,Alabama,AL,14.25,10.31,19.42,Drug Overdose,2019,44,15.04,10.91,20.41
11/09/2019,Alabama,AL,17.17,12.56,23.11,Drug Overdose,2019,45,15.69,11.42,21.24
11/16/2019,Alabama,AL,15.13,10.98,20.54,Drug Overdose,2019,46,15.10,10.96,20.49
11/23/2019,Alabama,AL,14.07,10.17,19.18,Drug Overdose,2019,47,15.16,11.00,20.56
11/30/2019,Alabama,AL,13.04,,17.86,Drug Overdose,2019,48,14.85,10.77,20.18
12/07/2019,Alabama,AL,14.92,10.82,20.27,Drug Overdose,2019,49,14.29,10.34,19.46
12/14/2019,Alabama,AL,16.87,12.32,22.74,Drug Overdose,2019,50,14.72,10.67,20.01
12/21/2019,Alabama,AL,14.51,10.50,19.74,Drug Overdose,2019,51,14.83,10.76,20.15
12/28/2019,Alabama,AL,16.19,11.80,21.88,Drug Overdose,2019,52,15.62,11.36,21.16
01/04/2020,Alabama,AL,16.34,11.91,22.07,Drug Overdose,2020,1,15.98,11.63,21.61
01/11/2020,Alabama,AL,13.49,,18.44,Drug Overdose,2020,2,15.13,10.99,20.53
01/18/2020,Alabama,AL,13.98,10.10,19.07,Drug Overdose,2020,3,15.00,10.89,20.37
01/25/2020,Alabama,AL,16.42,11.98,22.18,Drug Overdose,2020,4,15.06,10.93,20.44
02/01/2020,Alabama,AL,13.61,,18.59,Drug Overdose,2020,5,14.37,10.40,19.57
02/08/2020,Alabama,AL,15.58,11.33,21.10,Drug Overdose,2020,6,14.90,10.80,20.23
02/15/2020,Alabama,AL,15.24,11.06,20.67,Drug Overdose,2020,7,15.21,11.04,20.63
02/22/2020,Alabama,AL,17.13,12.53,23.07,Drug Overdose,2020,8,15.39,11.18,20.86
02/29/2020,Alabama,AL,18.24,13.40,24.47,Drug Overdose,2020,9,16.55,12.08,22.33
03/07/2020,Alabama,AL,21.93,16.30,29.04,Drug Overdose,2020,10,18.13,13.32,24.31
03/14/2020,Alabama,AL,17.81,13.06,23.92,Drug Overdose,2020,11,18.78,13.82,25.13
03/21/2020,Alabama,AL,15.67,11.40,21.23,Drug Overdose,2020,12,18.41,13.54,24.67
03/28/2020,Alabama,AL,19.87,14.67,26.50,Drug Overdose,2020,13,18.82,13.86,25.17
04/04/2020,Alabama,AL,18.68,13.74,25.01,Drug Overdose,2020,14,18.01,13.22,24.17
04/11/2020,Alabama,AL,16.22,11.82,21.91,Drug Overdose,2020,15,17.61,12.91,23.66
04/18/2020,Alabama,AL,18.38,13.50,24.64,Drug Overdose,2020,16,18.29,13.43,24.52
04/25/2020,Alabama,AL,24.35,18.24,32.02,Drug Overdose,2020,17,19.41,14.32,25.90
05/02/2020,Alabama,AL,24.49,18.34,32.18,Drug Overdose,2020,18,20.86,15.48,27.69
05/09/2020,Alabama,AL,28.07,21.24,36.53,Drug Overdose,2020,19,23.82,17.83,31.34
05/16/2020,Alabama,AL,26.06,19.61,34.10,Drug Overdose,2020,20,25.74,19.36,33.71
05/23/2020,Alabama,AL,22.43,16.70,29.66,Drug Overdose,2020,21,25.26,18.97,33.12
05/30/2020,Alabama,AL,23.12,17.25,30.51,Drug Overdose,2020,22,24.92,18.70,32.70
06/06/2020,Alabama,AL,23.86,17.84,31.41,Drug Overdose,2020,23,23.87,17.85,31.42
06/13/2020,Alabama,AL,19.77,14.60,26.37,Drug Overdose,2020,24,22.30,16.60,29.49
06/20/2020,Alabama,AL,22.11,16.44,29.27,Drug Overdose,2020,25,22.22,16.53,29.39
06/27/2020,Alabama,AL,22.67,16.89,29.96,Drug Overdose,2020,26,22.10,16.44,29.25
07/04/2020,Alabama,AL,21.65,16.08,28.70,Drug Overdose,2020,27,21.55,16.00,28.58
07/11/2020,Alabama,AL,18.70,13.75,25.04,Drug Overdose,2020,28,21.28,15.79,28.24
07/18/2020,Alabama,AL,19.71,14.55,26.30,Drug Overdose,2020,29,20.68,15.32,27.50
07/25/2020,Alabama,AL,18.33,13.47,24.58,Drug Overdose,2020,30,19.60,14.46,26.15
08/01/2020,Alabama,AL,20.82,15.42,27.67,Drug Overdose,2020,31,19.39,14.30,25.90
08/08/2020,Alabama,AL,22.80,16.99,30.12,Drug Overdose,2020,32,20.42,15.11,27.17
08/15/2020,Alabama,AL,17.40,12.73,23.40,Drug Overdose,2020,33,19.84,14.65,26.44
08/22/2020,Alabama,AL,17.36,12.71,23.36,Drug Overdose,2020,34,19.59,14.47,26.14
08/29/2020,Alabama,AL,20.76,15.37,27.60,Drug Overdose,2020,35,19.58,14.45,26.12
09/05/2020,Alabama,AL,17.30,12.66,23.28,Drug Overdose,2020,36,18.20,13.37,24.41
09/12/2020,Alabama,AL,19.57,14.43,26.12,Drug Overdose,2020,37,18.75,13.79,25.09
09/19/2020,Alabama,AL,13.93,10.06,19.00,Drug Overdose,2020,38,17.89,13.13,24.00
09/26/2020,Alabama,AL,16.53,12.06,22.31,Drug Overdose,2020,39,16.83,12.30,22.68
10/03/2020,Alabama,AL,14.20,10.27,19.35,Drug Overdose,2020,40,16.06,11.71,21.69
10/10/2020,Alabama,AL,17.40,12.74,23.41,Drug Overdose,2020,41,15.52,11.28,21.02
10/17/2020,Alabama,AL,13.48,,18.42,Drug Overdose,2020,42,15.40,11.20,20.87
10/24/2020,Alabama,AL,12.88,,17.65,Drug Overdose,2020,43,14.49,10.50,19.71
10/31/2020,Alabama,AL,15.00,10.88,20.37,Drug Overdose,2020,44,14.69,10.65,19.96
11/07/2020,Alabama,AL,22.11,16.45,29.28,Drug Overdose,2020,45,15.87,11.57,21.43
11/14/2020,Alabama,AL,13.79,,18.83,Drug Overdose,2020,46,15.95,11.63,21.53
11/21/2020,Alabama,AL,17.61,12.90,23.68,Drug Overdose,2020,47,17.13,12.55,23.04
11/28/2020,Alabama,AL,16.82,12.29,22.68,Drug Overdose,2020,48,17.59,12.90,23.62
12/05/2020,Alabama,AL,22.17,16.49,29.34,Drug Overdose,2020,49,17.60,12.91,23.63
12/12/2020,Alabama,AL,19.98,14.76,26.63,Drug Overdose,2020,50,19.15,14.11,25.58
12/19/2020,Alabama,AL,34.93,26.86,44.76,Drug Overdose,2020,51,23.48,17.60,30.85
12/26/2020,Alabama,AL,20.57,15.22,27.37,Drug Overdose,2020,52,24.41,18.33,32.02
01/02/2021,Alabama,AL,17.36,12.70,23.36,Drug Overdose,2020,53,23.21,17.38,30.53
01/09/2021,Alabama,AL,13.54,,18.51,Drug Overdose,2021,1,21.60,16.14,28.50
01/16/2021,Alabama,AL,10.63,,14.74,Drug Overdose,2021,2,15.52,11.31,20.99
01/23/2021,Alabama,AL,,,13.90,Drug Overdose,2021,3,12.87,,17.63
01/02/2016,Alabama,AL,,,,Suicide,2015,52,,,
01/09/2016,Alabama,AL,11.73,,15.20,Suicide,2016,1,,,
01/16/2016,Alabama,AL,13.05,10.05,16.83,Suicide,2016,2,,,
01/23/2016,Alabama,AL,12.15,,15.70,Suicide,2016,3,10.51,,13.65
01/30/2016,Alabama,AL,14.38,11.11,18.49,Suicide,2016,4,12.82,,16.55
02/06/2016,Alabama,AL,15.23,11.80,19.55,Suicide,2016,5,13.70,10.58,17.64
02/13/2016,Alabama,AL,16.32,12.66,20.90,Suicide,2016,6,14.52,11.23,18.66
02/20/2016,Alabama,AL,16.91,13.14,21.63,Suicide,2016,7,15.71,12.18,20.14
02/27/2016,Alabama,AL,13.24,10.21,17.07,Suicide,2016,8,15.42,11.95,19.79
03/05/2016,Alabama,AL,14.93,11.55,19.18,Suicide,2016,9,15.35,11.89,19.69
03/12/2016,Alabama,AL,14.67,11.35,18.85,Suicide,2016,10,14.94,11.56,19.18
03/19/2016,Alabama,AL,16.76,13.02,21.44,Suicide,2016,11,14.90,11.53,19.13
